variant,seed,throughput,vs_expert_pct,training_time
full,0,0.0,0.0,114.4
full,1,0.053,81.5,113.7
no_hetero,0,0.0,0.0,20.0
no_hetero,1,0.0,0.0,19.2
no_attention,0,0.0,0.0,20.9
no_attention,1,0.0,0.0,20.7
no_gnn,0,0.0,0.0,17.7
no_gnn,1,0.0,0.0,18.2
no_readiness_gate,0,0.0,0.0,118.8
no_readiness_gate,1,0.0,0.0,102.8
no_attn_heads,0,0.0,0.0,107.0
no_attn_heads,1,0.029,44.6,113.2
depth_4,0,0.0,0.0,231.5
depth_4,1,0.0,0.0,209.5
width_256,0,0.0,0.0,189.0
width_256,1,0.0,0.0,177.1
width_64,0,0.0,0.0,79.0
width_64,1,0.0,0.0,73.4
